,shap_spectral_low,shap_spectral_medium,shap_spectral_high
0,0.9999999290576232,7.094237671954497e-08,0.0
1,0.9999929181923584,7.081807641648861e-06,0.0
2,0.9998005451557168,0.00019945484428313833,0.0
3,0.9999997197332958,2.80266704141061e-07,0.0
4,0.999999278290257,7.217097430061507e-07,0.0
5,0.9999984683537075,1.531646292461057e-06,0.0
6,0.9995644391264594,0.00043556087354059054,0.0
7,0.9999982491214122,1.750878587828373e-06,0.0
8,0.9999984547343985,1.5452656015235147e-06,0.0
9,0.9970866390938729,0.0029133609061271254,0.0
10,0.9985988422937471,0.0014011577062529223,0.0
11,0.9999925915860913,7.4084139086258635e-06,0.0
12,0.9999998493048128,1.5069518716889806e-07,0.0
13,0.9479920002742651,0.05200799972573486,0.0
14,0.9538918219623567,0.046108178037643346,0.0
15,0.9923308404238685,0.007669159576131468,0.0
16,0.9990802617939137,0.0009197382060863008,0.0
17,0.9977853058489605,0.002214694151039489,0.0
18,0.9986939114507748,0.0013060885492252557,0.0
19,0.998477589107385,0.001522410892614962,0.0
20,0.9999041629558163,9.583704418369888e-05,0.0
21,0.9999880538947499,1.1946105250107641e-05,0.0
22,0.9481198198337465,0.0518801801662535,0.0
23,0.9999805119976514,1.9488002348623632e-05,0.0
24,0.9999925990784846,7.400921515423892e-06,0.0
25,0.9443956959705434,0.05560430402945658,0.0
26,0.4166629549313147,0.5833370450686853,0.0
27,0.9679910647333823,0.03200893526661767,0.0
28,0.997733239813531,0.0022667601864690226,0.0
29,0.9996572152898101,0.00034278471018990786,0.0
30,0.8120256160859495,0.18797438391405052,0.0
31,0.9999967501468293,3.2498531707242773e-06,0.0
32,0.9868745883512137,0.013125411648786285,0.0
33,0.9999690298000958,3.0970199904154384e-05,0.0
34,0.5727107700262902,0.42728922997370977,0.0
35,0.9977368890300882,0.002263110969911808,0.0
36,0.9677730704558456,0.03222692954415433,0.0
37,0.9999972174970341,2.7825029659658904e-06,0.0
38,0.6160025593383206,0.3839974406616794,0.0
39,0.9999903085287033,9.691471296686623e-06,0.0
40,0.9992731814926173,0.0007268185073826648,0.0
41,0.9999836535713352,1.634642866472621e-05,0.0
42,0.9344655043973061,0.0655344956026939,0.0
43,0.9999875198844127,1.2480115587269993e-05,0.0
44,0.9999964651964951,3.5348035049437552e-06,0.0
45,0.99999153137369,8.468626309979058e-06,0.0
46,0.9621398992660691,0.03786010073393087,0.0
47,0.9999868730005135,1.3126999486471109e-05,0.0
48,0.9984562496416274,0.001543750358372655,0.0
49,0.7228238561968782,0.27717614380312183,0.0
50,0.0444650328187842,0.9555349671812158,0.0
51,0.11559566172570267,0.8844043382742973,0.0
52,0.9999880316503216,1.1968349678380567e-05,0.0
53,0.9995972129149345,0.00040278708506550015,0.0
54,0.9999993299750237,6.700249762600051e-07,0.0
55,0.0,0.8514092283693471,0.14859077163065298
56,0.9335254639951804,0.0664745360048195,0.0
57,0.9361709658944106,0.06382903410558936,0.0
58,0.6766308704495424,0.3233691295504576,0.0
59,0.9981788177449624,0.0018211822550375687,0.0
