,quality_low,quality_medium,quality_high
0,0.0,0.6778959377125786,0.3221040622874214
1,0.0,0.0,1.0
2,0.0,0.46649554484022343,0.5335044551597765
3,0.0,0.0,1.0
4,0.0,0.011280877727480787,0.9887191222725192
5,0.0,0.0,1.0
6,0.0,0.27138579294379844,0.7286142070562016
7,0.0,0.0,1.0
8,0.0,0.0,1.0
9,1.0,0.0,0.0
10,0.0,0.9501457022178094,0.04985429778219063
11,0.0,0.0,1.0
12,0.0,0.21157242189848235,0.7884275781015176
13,1.0,0.0,0.0
14,0.9483525337887196,0.05164746621128034,0.0
15,1.0,0.0,0.0
16,0.0,0.2971576731989799,0.7028423268010201
17,0.09376996528740639,0.9062300347125936,0.0
18,0.0,0.0,1.0
19,0.0,0.6428365305158116,0.3571634694841885
20,0.0,0.13558622156890088,0.8644137784310991
21,0.0,0.0,1.0
22,0.8230586136216543,0.17694138637834567,0.0
23,0.0,0.08374258825767271,0.9162574117423273
24,0.0,0.0,1.0
25,1.0,0.0,0.0
26,1.0,0.0,0.0
27,1.0,0.0,0.0
28,0.2781338933849553,0.7218661066150447,0.0
29,0.0,0.0,1.0
30,0.846546872794368,0.15345312720563198,0.0
31,0.0,0.24884084395977885,0.7511591560402212
32,0.7430050217733113,0.25699497822668865,0.0
33,0.0,0.01500078738291665,0.9849992126170833
34,0.7119562095645959,0.28804379043540407,0.0
35,1.0,0.0,0.0
36,0.8386166523996044,0.16138334760039566,0.0
37,0.0,0.0,1.0
38,0.9663520855435644,0.03364791445643562,0.0
39,0.0,0.0,1.0
40,0.0,0.0,1.0
41,0.0,0.0,1.0
42,1.0,0.0,0.0
43,0.0,0.0,1.0
44,0.0,0.09958984160612583,0.9004101583938742
45,0.0,0.3487135452862971,0.6512864547137028
46,0.2781338933849553,0.7218661066150447,0.0
47,0.0,0.751169182979864,0.24883081702013599
48,0.0,0.20567020745123282,0.7943297925487672
49,1.0,0.0,0.0
50,1.0,0.0,0.0
51,0.9813926556250635,0.0186073443749365,0.0
52,0.0,0.08242140322714092,0.9175785967728591
53,0.0,0.28734995471333563,0.7126500452866643
54,0.0,0.0,1.0
55,0.2781338933849553,0.7218661066150447,0.0
56,0.9409216856817902,0.059078314318209695,0.0
57,1.0,0.0,0.0
58,0.6118993536661937,0.38810064633380625,0.0
59,0.0,0.7207566231415068,0.2792433768584932
60,1.0,0.0,0.0
61,0.0,0.1356632571564438,0.8643367428435561
62,1.0,0.0,0.0
63,0.7214922712171332,0.2785077287828667,0.0
64,0.0,0.0,1.0
65,1.0,0.0,0.0
66,0.7708872240937895,0.22911277590621046,0.0
67,0.8081305392939226,0.1918694607060773,0.0
68,0.8684372390242329,0.13156276097576713,0.0
69,0.0,0.0,1.0
70,0.0,0.0,1.0
71,1.0,0.0,0.0
72,0.0,0.0,0.0
73,1.0,0.0,0.0
74,0.0,0.22524294640679454,0.7747570535932055
75,0.0,0.0,1.0
76,0.6735891433288821,0.32641085667111785,0.0
77,0.0,0.0,1.0
78,0.0,0.0,1.0
79,1.0,0.0,0.0
80,0.0,0.6724333373665561,0.3275666626334439
81,0.7748191985452272,0.22518080145477284,0.0
82,0.035431039300079376,0.9645689606999206,0.0
83,0.0,0.0,1.0
84,0.01684999144543281,0.9831500085545672,0.0
85,0.0,0.30553934683027756,0.6944606531697224
86,1.0,0.0,0.0
87,0.0,0.615978536663793,0.384021463336207
88,0.0,0.0,1.0
89,0.2781338933849553,0.7218661066150447,0.0
90,1.0,0.0,0.0
91,1.0,0.0,0.0
92,1.0,0.0,0.0
93,1.0,0.0,0.0
94,1.0,0.0,0.0
95,1.0,0.0,0.0
96,0.5995626234596636,0.4004373765403365,0.0
97,0.0,0.0,1.0
98,0.2781338933849553,0.7218661066150447,0.0
99,0.0,0.0,1.0
100,0.0,0.27198245922402636,0.7280175407759737
101,1.0,0.0,0.0
102,0.0,0.0,1.0
103,1.0,0.0,0.0
104,0.0,0.0,1.0
105,0.9812263457554135,0.018773654244586543,0.0
106,0.9563595368478587,0.04364046315214132,0.0
107,0.0,0.0,1.0
108,0.8014796519692264,0.19852034803077356,0.0
109,1.0,0.0,0.0
110,0.0,0.0,1.0
111,0.7453863176291801,0.25461368237081994,0.0
112,1.0,0.0,0.0
113,0.0,0.3127369451084102,0.6872630548915897
114,1.0,0.0,0.0
115,0.0,0.0,1.0
116,1.0,0.0,0.0
117,0.0,0.3094291488057321,0.6905708511942679
118,1.0,0.0,0.0
119,0.0,0.0,1.0
120,0.0,0.0,1.0
121,0.2781338933849553,0.7218661066150447,0.0
122,0.0,0.0,1.0
123,0.0,0.0,1.0
124,1.0,0.0,0.0
125,1.0,0.0,0.0
126,0.0,0.0,1.0
127,0.8684020687247005,0.13159793127529956,0.0
128,0.0,0.0,1.0
129,0.2781338933849553,0.7218661066150447,0.0
130,0.0,0.23922894187462773,0.7607710581253723
131,0.2781338933849553,0.7218661066150447,0.0
132,1.0,0.0,0.0
133,1.0,0.0,0.0
134,1.0,0.0,0.0
135,0.0,0.6083895289863179,0.3916104710136821
136,0.0,0.004465271881808203,0.9955347281181918
137,0.0,0.0,1.0
138,0.0,0.0,1.0
139,0.0,0.0,1.0
140,0.0,0.0,1.0
141,0.2781338933849553,0.7218661066150447,0.0
142,1.0,0.0,0.0
143,0.0,0.9005383886981722,0.09946161130182783
144,0.0,0.8949683443200648,0.10503165567993525
145,1.0,0.0,0.0
146,1.0,0.0,0.0
147,0.0,0.2268053015655131,0.7731946984344868
148,0.0,0.16309511678320715,0.8369048832167929
149,0.0,0.0,1.0
150,0.0,0.6577940408447511,0.3422059591552488
151,0.0,0.0,1.0
152,0.0,0.27342219563906633,0.7265778043609337
153,0.0,0.5770694977834695,0.4229305022165304
154,0.2781338933849553,0.7218661066150447,0.0
155,1.0,0.0,0.0
156,0.9350767764586528,0.0649232235413471,0.0
157,0.0,0.0,1.0
158,0.0,0.0,1.0
159,0.0,0.0,1.0
160,1.0,0.0,0.0
161,0.0,0.0,1.0
162,1.0,0.0,0.0
163,0.9690299259545535,0.030970074045446473,0.0
164,0.9333176666695148,0.0666823333304852,0.0
165,0.0,0.0,1.0
166,0.0,0.2582554443930018,0.7417445556069983
167,0.0,0.0,1.0
168,1.0,0.0,0.0
169,1.0,0.0,0.0
170,0.9518838962738249,0.048116103726175176,0.0
171,0.0,0.0,1.0
172,0.6676918172674151,0.3323081827325849,0.0
173,0.0,0.006323698871206471,0.9936763011287936
174,0.0,0.7940285932940838,0.2059714067059162
175,0.17305055265858704,0.826949447341413,0.0
176,0.0,0.0661493136907352,0.9338506863092648
177,0.0,0.009701546808094604,0.9902984531919053
178,0.998191502286417,0.001808497713582982,0.0
179,0.2781338933849553,0.7218661066150447,0.0
180,1.0,0.0,0.0
181,1.0,0.0,0.0
182,0.0,0.0,1.0
183,0.9970843416861064,0.0029156583138936543,0.0
184,1.0,0.0,0.0
185,0.2781338933849553,0.7218661066150447,0.0
186,0.9316744251185998,0.06832557488140022,0.0
187,0.0,0.0,1.0
188,0.9935343841182466,0.006465615881753478,0.0
189,1.0,0.0,0.0
190,0.8314236817949243,0.16857631820507568,0.0
191,1.0,0.0,0.0
192,1.0,0.0,0.0
193,0.0,0.0,1.0
194,0.0,0.0,1.0
195,0.0,0.0,1.0
196,0.0,0.24440930627320698,0.755590693726793
197,0.9562766757589046,0.0437233242410953,0.0
198,0.7105383190430047,0.2894616809569953,0.0
199,0.8209580068442429,0.17904199315575706,0.0
200,0.9999214645588943,7.853544110568496e-05,0.0
201,1.0,0.0,0.0
202,0.02517740039220927,0.9748225996077907,0.0
203,0.0,0.0,1.0
204,0.0,0.08123619676225198,0.9187638032377481
205,0.6760692316558392,0.3239307683441608,0.0
206,0.0,0.0,1.0
207,0.0,0.46941537958171736,0.5305846204182827
208,0.0,0.0,1.0
209,0.0,0.0,1.0
210,1.0,0.0,0.0
211,0.0,0.27364821882750434,0.7263517811724957
212,1.0,0.0,0.0
213,0.0,0.0,1.0
214,0.0,0.04627079314895195,0.953729206851048
215,0.0,0.18411411838812114,0.8158858816118789
216,1.0,0.0,0.0
217,0.0,0.0,1.0
218,1.0,0.0,0.0
219,0.0,0.0,1.0
220,0.0,0.0,1.0
221,0.0,0.6591597217738386,0.34084027822616136
222,0.2781338933849553,0.7218661066150447,0.0
223,0.0,0.005024553281643574,0.9949754467183565
224,1.0,0.0,0.0
225,0.6770934361542211,0.3229065638457789,0.0
226,0.0,0.0,1.0
227,1.0,0.0,0.0
228,1.0,0.0,0.0
229,1.0,0.0,0.0
230,0.0,0.9468422517261215,0.05315774827387851
231,1.0,0.0,0.0
232,0.0,0.20347604460401808,0.796523955395982
233,0.0,0.6991312488935598,0.3008687511064401
234,0.0,0.7820401585959208,0.21795984140407923
235,0.0,0.11392828625494097,0.886071713745059
236,0.0,0.4285052459940776,0.5714947540059224
237,0.6582342537675266,0.3417657462324733,0.0
238,1.0,0.0,0.0
239,0.2781338933849553,0.7218661066150447,0.0
240,0.0,0.7882477171894112,0.21175228281058875
241,0.2781338933849553,0.7218661066150447,0.0
242,0.2781338933849553,0.7218661066150447,0.0
243,0.2781338933849553,0.7218661066150447,0.0
244,0.0,0.0,1.0
245,0.0,0.0,1.0
246,1.0,0.0,0.0
247,0.8839813736511629,0.11601862634883711,0.0
248,0.9771016779568569,0.02289832204314312,0.0
249,1.0,0.0,0.0
250,1.0,0.0,0.0
251,1.0,0.0,0.0
252,0.0,0.48504558730113034,0.5149544126988698
253,1.0,0.0,0.0
254,1.0,0.0,0.0
255,0.0,0.09814053211309881,0.9018594678869012
256,0.9994138529306019,0.0005861470693980146,0.0
257,0.9099390532873182,0.09006094671268178,0.0
258,0.2781338933849553,0.7218661066150447,0.0
259,0.8580053362345879,0.14199466376541212,0.0
260,0.9248404025828393,0.07515959741716073,0.0
261,0.0,0.6093589866058648,0.39064101339413515
262,1.0,0.0,0.0
263,0.7858218989015576,0.21417810109844232,0.0
264,1.0,0.0,0.0
265,1.0,0.0,0.0
266,0.0,0.819466302647675,0.18053369735232505
267,0.0,0.2211676776343328,0.7788323223656671
268,0.0,0.34075784107246193,0.6592421589275381
269,0.0,0.1898443938831652,0.8101556061168348
270,0.0,0.8634340042583393,0.13656599574166076
271,0.0,0.27338992825314706,0.726610071746853
272,0.0,0.0,1.0
273,0.2781338933849553,0.7218661066150447,0.0
274,1.0,0.0,0.0
275,0.2781338933849553,0.7218661066150447,0.0
276,0.0,0.6720786274578959,0.3279213725421041
277,0.8581689025036677,0.1418310974963323,0.0
278,0.2781338933849553,0.7218661066150447,0.0
279,1.0,0.0,0.0
280,0.0,0.9549558982681536,0.04504410173184639
281,0.0,0.5618641212415203,0.43813587875847965
282,0.0,0.0,1.0
283,0.0,0.9221441752802028,0.07785582471979727
284,0.0,0.6291236415242062,0.3708763584757938
285,0.0,0.06806679963504461,0.9319332003649554
286,0.0,0.0,1.0
287,0.0,0.9183546164002307,0.08164538359976924
288,0.0,0.6870709817463623,0.31292901825363767
289,0.7149270620226309,0.2850729379773691,0.0
290,1.0,0.0,0.0
291,0.0,0.0,1.0
292,0.677852059721742,0.32214794027825794,0.0
293,0.0,0.0,1.0
294,0.0,0.28671765662084586,0.7132823433791541
295,1.0,0.0,0.0
296,0.0,0.36014789429568117,0.6398521057043188
297,0.0,0.0,1.0
298,0.0,0.0,1.0
299,0.2781338933849553,0.7218661066150447,0.0
