,shap_energy_low,shap_energy_medium,shap_energy_high
0,1.0,0.0,0.0
1,1.0,0.0,0.0
2,1.0,0.0,0.0
3,1.0,0.0,0.0
4,1.0,0.0,0.0
5,1.0,0.0,0.0
6,0.0,0.48695964658747104,0.513040353412529
7,1.0,0.0,0.0
8,1.0,0.0,0.0
9,0.0,0.0,1.0
10,1.0,0.0,0.0
11,1.0,0.0,0.0
12,1.0,0.0,0.0
13,0.0,0.0,1.0
14,1.0,0.0,0.0
15,0.017822929259754,0.982177070740246,0.0
16,1.0,0.0,0.0
17,1.0,0.0,0.0
18,1.0,0.0,0.0
19,0.0,0.0,1.0
20,1.0,0.0,0.0
21,1.0,0.0,0.0
22,0.0,0.0,1.0
23,1.0,0.0,0.0
24,1.0,0.0,0.0
25,0.0,0.0,1.0
26,0.0,0.0,1.0
27,0.0,0.0,1.0
28,0.80838068863181,0.19161931136819008,0.0
29,1.0,0.0,0.0
30,0.0,0.0,1.0
31,1.0,0.0,0.0
32,0.0,0.0,1.0
33,1.0,0.0,0.0
34,0.0,0.0,1.0
35,0.0,0.0,1.0
36,0.0,0.0,1.0
37,1.0,0.0,0.0
38,0.0,0.0,1.0
39,1.0,0.0,0.0
40,1.0,0.0,0.0
41,1.0,0.0,0.0
42,0.0,0.0,1.0
43,1.0,0.0,0.0
44,1.0,0.0,0.0
45,1.0,0.0,0.0
46,1.0,0.0,0.0
47,1.0,0.0,0.0
48,0.0,0.829807358198843,0.170192641801157
49,0.0,0.0,1.0
50,0.0,0.0,1.0
51,0.0,0.0,1.0
52,1.0,0.0,0.0
53,1.0,0.0,0.0
54,1.0,0.0,0.0
55,0.0,0.0,1.0
56,1.0,0.0,0.0
57,0.0,0.0,1.0
58,0.0,0.0,1.0
59,1.0,0.0,0.0
60,0.0,0.5321060085715921,0.467893991428408
61,1.0,0.0,0.0
62,0.0,0.737043943790943,0.26295605620905704
63,0.0,0.804719560707188,0.195280439292812
64,1.0,0.0,0.0
65,0.0,0.0,1.0
66,0.0,0.0,1.0
67,0.0,0.0,1.0
68,0.0,0.0,1.0
69,1.0,0.0,0.0
70,1.0,0.0,0.0
71,0.0,0.0,1.0
72,1.0,0.0,0.0
73,0.0,0.0,1.0
74,1.0,0.0,0.0
75,1.0,0.0,0.0
76,0.0,0.0,1.0
77,1.0,0.0,0.0
78,1.0,0.0,0.0
79,0.0,0.03597139095653304,0.964028609043467
80,1.0,0.0,0.0
81,0.0,0.0,1.0
82,1.0,0.0,0.0
83,1.0,0.0,0.0
84,0.0,0.0,1.0
85,1.0,0.0,0.0
86,0.0,0.0,1.0
87,1.0,0.0,0.0
88,1.0,0.0,0.0
89,1.0,0.0,0.0
90,0.0,0.0,1.0
91,0.920388531106246,0.07961146889375409,0.0
92,0.0,0.0,1.0
93,0.0,0.0,1.0
94,0.0,0.0,1.0
95,0.0,0.30868964356375606,0.691310356436244
96,0.0,0.0,1.0
97,1.0,0.0,0.0
98,0.0,0.0,1.0
99,1.0,0.0,0.0
100,1.0,0.0,0.0
101,0.0,0.0,1.0
102,1.0,0.0,0.0
103,0.0,0.0,1.0
104,1.0,0.0,0.0
105,0.0,0.0,1.0
106,0.0,0.0,1.0
107,0.0,0.0,1.0
108,0.0,0.0,1.0
109,0.0,0.0,1.0
110,0.0,0.690481718532464,0.309518281467536
111,1.0,0.0,0.0
112,1.0,0.0,0.0
113,1.0,0.0,0.0
114,1.0,0.0,0.0
115,1.0,0.0,0.0
116,1.0,0.0,0.0
117,1.0,0.0,0.0
118,1.0,0.0,0.0
119,1.0,0.0,0.0
120,1.0,0.0,0.0
121,1.0,0.0,0.0
122,1.0,0.0,0.0
123,1.0,0.0,0.0
124,0.0,0.0,1.0
125,0.0,0.0,1.0
126,1.0,0.0,0.0
127,1.0,0.0,0.0
128,1.0,0.0,0.0
129,0.0,0.0,1.0
130,1.0,0.0,0.0
131,1.0,0.0,0.0
132,0.0,0.049883315692269004,0.9501166843077311
133,0.471277663242414,0.528722336757586,0.0
134,1.0,0.0,0.0
135,1.0,0.0,0.0
136,1.0,0.0,0.0
137,1.0,0.0,0.0
138,1.0,0.0,0.0
139,1.0,0.0,0.0
140,1.0,0.0,0.0
141,1.0,0.0,0.0
142,0.899172244157399,0.10082775584260101,0.0
143,1.0,0.0,0.0
